source_id,domain,title,institution,landing_url,resource_url,format,geography,temporal_coverage,accessed_at,version_or_update,status,planned_use,limitations
ibge_sidra_9514,denominator,"Censo Demográfico 2022 - população por idade e sexo","IBGE",https://sidra.ibge.gov.br/tabela/9514,https://apisidra.ibge.gov.br/values/t/9514/n6/3306305/p/2022,JSON,município,2022,2026-08-02,"tabela SIDRA 9514",verified,"padrão etário e denominador de 2022",não fornece série anual completa sozinho
ibge_sidra_9514_age_sex_2022,denominator,"Censo Demográfico 2022 - população por sexo e grupos etários","IBGE",https://sidra.ibge.gov.br/tabela/9514,"https://apisidra.ibge.gov.br/values/t/9514/n6/{municipios}/p/2022/v/93/c2/4,5/c286/113635/c287/{idades}",JSON,92 municípios RJ,2022,2026-08-02,"consulta API SIDRA 9514; classificação oficial de sexo e idade",verified,"denominadores específicos para taxas SIM 2022",não é série anual; grupos foram harmonizados aos grupos etários do SIM
ibge_sidra_6579,denominator,"População residente estimada","IBGE",https://sidra.ibge.gov.br/tabela/6579,https://apisidra.ibge.gov.br/values/t/6579/n6/all/p/{year}/v/9324,SIDRA/API,município,2001-2025,2026-08-02,"tabela SIDRA 6579; variável 9324; consulta anual por município",verified,"denominadores anuais agregados",não fornece todos os anos; estrutura etária deve ser obtida separadamente; anos sem dado não são interpolados
ibge_estimates_page,denominator,"Estimativas da população","IBGE",https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,,HTML,nacional,desde 1992,2026-08-02,"página acessada em 2026-08-02",verified,"notas metodológicas e arquivos anuais",referência em 1º de julho; verificar compatibilidade com taxas mensais
sivep_dataset,pandemic,"Banco de dados da Síndrome Respiratória Aguda Grave (SRAG) - 2019 a 2026","CGIAE / DATASUS / Ministério da Saúde",https://dadosabertos.saude.gov.br/dataset/srag-2019-a-2026,,CSV/JSON/Parquet/XML,nacional e município,2019-2026,2026-08-02,"anos 2019-2024 congelados; banco corrente atualizado semanalmente",verified,"SRAG, Covid, influenza, VSR e outros vírus",mudanças de vigilância e revisão contínua
sivep_2019_parquet,pandemic,"Banco vivo SRAG 2019 - 23/03/2026","CGIAE / DATASUS / Ministério da Saúde",https://dadosabertos.saude.gov.br/dataset/srag-2019-a-2026,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SRAG/2019/INFLUD19-23-03-2026.parquet,Parquet,nacional e município,2019,2026-08-02,"recurso selecionado automaticamente no catálogo oficial; atualização 23/03/2026",verified,"amostra histórica de vigilância e validação de residência",banco vivo sujeito a revisão; não misturar sem controle de versão
sivep_2020_parquet,pandemic,"Banco vivo SRAG 2020 - 23/03/2026","CGIAE / DATASUS / Ministério da Saúde",https://dadosabertos.saude.gov.br/dataset/srag-2019-a-2026,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SRAG/2020/INFLUD20-23-03-2026.parquet,Parquet,nacional e município,2020,2026-08-02,"recurso selecionado automaticamente no catálogo oficial; atualização 23/03/2026",verified,"marco pandêmico e validação de residência",banco vivo sujeito a revisão; documentar versão na análise
sivep_dictionary,pandemic,"Dicionário de dados SRAG 2019-2025","CGIAE / DATASUS / Ministério da Saúde",https://dadosabertos.saude.gov.br/dataset/srag-2019-a-2026,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SRAG/dicionario-de-dados-2019-a-2025.pdf,PDF,nacional,2019-2025,2026-08-02,"atualizado em 2026-01-29",verified,"mapa de variáveis e mudanças de formulário",documentar versões por ano
inea_sigqar,air_quality,"Portal SIGQAR - Sistema Integrado de Gestão de Qualidade do Ar","INEA / SEAS",https://portalsigqar.inea.rj.gov.br/,,portal,estações RJ,versão pública corrente,2026-08-02,"portal acessado em 2026-08-02",verified,"cobertura, estações, séries e metadados",endpoint de exportação ainda deve ser confirmado
inea_iqar,air_quality,"Índice de Qualidade do Ar","INEA / SEAS",https://www.inea.rj.gov.br/ar-agua-e-solo/iqar/,,HTML/relatórios,RJ,versão pública corrente,2026-08-02,"página acessada em 2026-08-02",verified,"definições e critérios de qualidade",índice não substitui concentração bruta de poluente
inmet,meteorology,"Dados meteorológicos","INMET",https://portal.inmet.gov.br/,,CSV/JSON/API,estações,versão pública corrente,2026-08-02,"portal oficial; endpoint a validar",pending_endpoint,"temperatura, umidade, precipitação e vento",lacunas e mudanças de estação
inca_atlas,cancer_mortality,"Atlas On-line de Mortalidade","INCA / Ministério da Saúde",https://mortalidade.inca.gov.br/MortalidadeWeb/,,tabulação web,município,1979-2026,2026-08-02,"versão 2.0.0 exibida no portal",verified,"checagem externa das taxas de câncer",padronização do Atlas não será misturada à padronização própria
inca_vigilancia,cancer_assistance,"Vigilância de Câncer","INCA / Ministério da Saúde",https://www.gov.br/inca/pt-br/assuntos/cancer/numeros/vigilancia,,HTML,regiões e estados,versão pública corrente,2026-08-02,"página acessada em 2026-08-02",verified,"mapa de produtos e limitações da vigilância",não é microdado municipal completo
painel_oncologia,cancer_assistance,"Painel Oncologia","Ministério da Saúde / INCA",https://www.gov.br/saude/pt-br/composicao/saes/cgcan/cgcan,,TabNet/painel,nacional e município,2013-2026,2026-08-02,"página acessada em 2026-08-02",verified,"tempo diagnóstico-tratamento e proporção acima de 60 dias",depende da qualidade de SIA, SIH e SISCAN
siscan_manual,cancer_assistance,"Manual do Sistema de Informação do Câncer - SISCAN","INCA / Ministério da Saúde",https://www.inca.gov.br/publicacoes/manuais/manual-do-sistema-de-informacao-do-cancer-siscan-modulos-1-2-3-e-4,,PDF,serviços SUS,versão 2023,2026-08-02,"última modificação 2023-12-15",verified,"documentar fluxo, cobertura e variáveis",acesso a dados requer governança local
cnes,care_capacity,"Cadastro Nacional de Estabelecimentos de Saúde","DATASUS / Ministério da Saúde",https://tabnet.datasus.gov.br/cgi/cnes/NT_Estabelecimentos.htm,,TabNet/CSV,estabelecimentos,2005-2026,2026-08-02,"nota técnica acessada em 2026-08-02",verified,"capacidade, leitos e hospitais",defasagem e alterações cadastrais
vaccination_covid,pandemic,"Campanha Nacional de Vacinação contra Covid-19","PNI / Ministério da Saúde",https://dadosabertos.saude.gov.br/dataset/covid-19-vacinacao,,CSV/API,município,2021-2026,2026-08-02,"dataset atualizado em 2026-06-05",verified,"cobertura vacinal como covariável/contexto",registros dependem de integração à RNDS
rhc,cancer_assistance,"Registros Hospitalares de Câncer","INCA / gestores locais",https://www.gov.br/inca/pt-br/assuntos/cancer/numeros/vigilancia,,a solicitar,unidades participantes,período a confirmar,2026-08-02,"sem arquivo público municipal identificado nesta fase",to_request,"estágio, ocupação, tabagismo, procedência e completude",não confundir cobertura do registro com incidência
occupational_data,occupational,"Dados ocupacionais e histórico de exposição","a solicitar por LAI/parceria",,,,,período histórico,2026-08-02,"não adquirido",to_request,"coorte histórica e latências de 10, 15 e 20 anos",pode conter dados pessoais e exige base legal/ética
